FECH,ADUA,PAIS,COD_PAI4,COD_SAL1,COD_SAL,DPTO2,VIA,BANDERA,REGIM,MODAD,FINALID,CER_ORI1,SISESP,POSAR,DPTO1,UNID,CODUNI2,CANTI,PBK,PNK,FOBDOL,FOBPES,AGRENA,FLETES,SEGURO,OTROSG
2310,1,249,USA,0,AXM,68,9,249,1,198,1,8,2,2710191500,68,67,M3,110,115667,88975,108083,457256555,0,0,0,0
2310,1,580,PAN,0,AXM,68,0,580,1,198,1,8,2,2710191500,68,67,M3,22,22674,17442,18547,78465124,0,0,0,0
2310,3,23,DEU,3,BOG,5,3,23,1,198,1,6,2,804502000,5,33,KG,576,654,576,4476,18142684,0,1354,0,0
2310,3,23,DEU,3,BOG,5,3,23,1,198,1,8,2,810901010,5,33,KG,84,101,84,525,2221070,0,0,0,0
2310,3,23,DEU,3,BOG,5,3,23,1,198,1,8,2,810901030,5,33,KG,30,36,30,114,482290,0,0,0,0
2310,3,23,DEU,3,BOG,5,3,23,1,198,1,8,2,810903000,5,33,KG,90,108,90,314,1326296,0,0,0,0
2310,3,23,DEU,3,BOG,5,3,23,1,198,1,8,2,810904000,5,33,KG,5,6,5,31,129880,0,0,0,0
2310,3,23,DEU,3,BOG,5,3,23,1,198,1,8,2,810905000,5,33,KG,144,173,144,768,3249108,0,0,0,0
2310,3,23,DEU,3,BOG,5,3,23,1,198,1,8,2,810909010,5,33,KG,8,10,8,37,156533,0,0,0,0
2310,3,23,DEU,3,BOG,5,3,23,1,198,1,8,2,1211909000,5,33,KG,32,44,32,33556,142239359,0,0,0,0
2310,3,23,DEU,3,BOG,5,9,169,1,198,1,8,2,6112410000,5,11,U,20,16,14,3280,13876401,0,0,0,0
2310,3,23,DEU,3,BOG,5,9,169,1,198,1,8,2,6204420000,5,11,U,50,40,34,7741,32750844,0,0,0,0
2310,3,23,DEU,3,BOG,5,9,169,1,198,1,8,2,6204440000,5,11,U,18,14,12,6624,28023561,0,0,0,0
2310,3,23,DEU,3,BOG,5,9,169,1,198,1,8,2,6204520000,5,11,U,25,20,17,6200,26229781,0,0,0,0
2310,3,23,DEU,3,BOG,5,9,169,1,198,1,8,2,6204690000,5,11,U,30,24,21,4920,20814601,0,0,0,0
2310,3,23,DEU,3,BOG,5,9,169,1,198,1,8,2,6206400000,5,11,U,35,28,24,6860,29021985,0,0,0,0
2310,3,23,DEU,3,BOG,5,9,169,1,198,1,8,2,6211420000,5,11,U,20,16,14,2560,10830362,0,0,0,0
2310,3,23,DEU,3,BOG,8,3,23,1,198,1,8,2,3002121200,8,33,KG,1031,1197,1031,107926,456245758,0,1500,0,0
2310,3,23,DEU,3,BOG,11,1,211,1,198,1,8,2,9026809000,11,11,U,2,67,60,11612,48933125,0,370,0,0
2310,3,23,DEU,3,BOG,11,3,23,1,198,1,6,1,603129000,11,11,U,8960,340,312,1613,6823128,1560,0,0,0
2310,3,23,DEU,3,BOG,11,3,23,1,198,1,6,1,7007210000,11,11,U,140,11345,8192,200772,846571857,177480,51234,2631,0
2310,3,23,DEU,3,BOG,11,3,23,1,198,1,6,2,603121000,11,11,U,4900,169,154,882,3715425,0,0,0,0
2310,3,23,DEU,3,BOG,11,3,23,1,198,1,6,2,603129000,11,11,U,14400,548,501,2592,10918800,0,0,0,0
2310,3,23,DEU,3,BOG,11,3,23,1,198,1,8,1,603121000,11,11,U,10555,366,315,1892,8006464,1822,0,0,0
2310,3,23,DEU,3,BOG,11,3,23,1,198,1,8,1,603129000,11,11,U,37203,1441,1239,6639,28097488,6394,0,0,0
2310,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,301110090,11,11,U,58832,1031,849,15774,66022338,0,4209,0,0
