FECH,ADUA,PAIS,COD_PAI4,COD_SAL1,COD_SAL,DPTO2,VIA,BANDERA,REGIM,MODAD,FINALID,CER_ORI1,SISESP,POSAR,DPTO1,UNID,CODUNI2,CANTI,PBK,PNK,FOBDOL,FOBPES,AGRENA,FLETES,SEGURO,OTROSG
2309,1,249,USA,0,AXM,68,9,249,1,198,1,8,2,2710191500,68,67,M3,102,90943,82676,99637,393657500,0,0,0,0
2309,1,580,PAN,0,AXM,68,0,580,1,198,1,8,2,2710191500,68,67,M3,11,11047,9206,9517,37601143,0,0,0,0
2309,3,17,ALB,3,BOG,11,3,23,1,198,1,8,2,8421219000,11,11,U,3,622,555,8580,34863629,0,4971.5,120,915
2309,3,23,DEU,3,BOG,5,3,23,1,107,2,8,2,2007100000,5,33,KG,10,10,10,79,309234,0,89.43,0.11,0
2309,3,23,DEU,3,BOG,5,3,23,1,107,2,8,2,2007999100,5,33,KG,3,3,3,6,23963,0,6.93,0.01,0
2309,3,23,DEU,3,BOG,5,3,23,1,107,2,8,2,2007999200,5,33,KG,14,14,14,942,3701815,0,1070.51,1.31,0
2309,3,23,DEU,3,BOG,5,3,23,1,107,2,8,2,2008119000,5,33,KG,4,4,4,4,14535,0,4.2,0.01,0
2309,3,23,DEU,3,BOG,5,3,23,1,107,2,8,2,2008970000,5,33,KG,2,2,2,2,9231,0,2.67,0,0
2309,3,23,DEU,3,BOG,5,3,23,1,107,2,8,2,2008993000,5,33,KG,423,452,423,374,1468862,0,424.77,0.52,0
2309,3,23,DEU,3,BOG,5,3,23,1,107,2,8,2,2008999000,5,33,KG,360,385,360,478,1877129,0,542.84,0.66,0
2309,3,23,DEU,3,BOG,5,3,23,1,107,2,8,2,2101110010,5,33,KG,2,2,2,20,77309,0,16.59,0.01,0
2309,3,23,DEU,3,BOG,5,3,23,1,107,2,8,2,2103100000,5,33,KG,1,1,1,1,3732,0,1.08,0,0
2309,3,23,DEU,3,BOG,5,3,23,1,107,2,8,2,2103200000,5,33,KG,70,75,70,196,770336,0,222.77,0.27,0
2309,3,23,DEU,3,BOG,5,3,23,1,107,2,8,2,2103302000,5,33,KG,1,2,1,4,16106,0,4.66,0.01,0
2309,3,23,DEU,3,BOG,5,3,23,1,107,2,8,2,2103909000,5,33,KG,4,4,4,45,175594,0,50.78,0.06,0
2309,3,23,DEU,3,BOG,5,3,23,1,107,2,8,2,2202100000,5,61,L,31,31,31,77,304285,0,150.26,0.15,0
2309,3,23,DEU,3,BOG,5,3,23,1,107,2,8,2,2202990000,11,61,L,115,115,115,197,773086,0,384.25,0.38,0
2309,3,23,DEU,3,BOG,5,3,23,1,107,2,8,2,2203000000,5,61,L,30,30,30,39,154617,0,76.85,0.08,0
2309,3,23,DEU,3,BOG,5,3,23,1,198,2,8,2,901212000,5,33,KG,31,34,31,93,366980,0,593.42,0.45,0
2309,3,23,DEU,3,BOG,5,7,827,1,198,1,8,2,603199010,5,11,U,690,119,95,539,2114469,0,0,0,0
2309,3,23,DEU,3,BOG,5,8,618,1,198,1,8,2,603199010,5,11,U,20630,2801,2521,11201,43712936,0,0,0,0
2309,3,23,DEU,3,BOG,5,9,169,1,198,1,8,2,6103430000,5,11,U,14,1,1,165,649738,0,28.21,0,0
2309,3,23,DEU,3,BOG,5,9,169,1,198,1,8,2,6107110000,5,11,U,55,4,4,254,998569,0,43.36,0,0
